标注说明：,,,,,,,,,,,,,,,
无用：0,,,,,,,,,,,,,,,
正面：1,,,,,,,,,,,,,,,
负面：2,,,,,,,,,,,,,,,
中性：3,,,,,,,,,,,,,,,
正面、负面均为有用评论,,,,,,,,,,,,,,,
分工,序号,评论ID,用户昵称,用户ID,评论内容,发布时间,点赞数,是否为子评论,父评论ID,爬取时间,来源文件,来源工作表,读取时间,标注,分工.1
蔡欣颖,803,244874000000.0,Macondoinrain,2125074618.0,电动自行车发展本来就是因为禁摩。,2024-10-18 14:04:33,1,是,244463000000.0,2026-01-21 12:41:12,B站评论_BV1bc2oYaEhG_20260121_124325.xlsx,评论数据,2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,264,244443000000.0,我是森哥哥啊,510735163.0,我觉得是人太多的问题，应该月入不过两万，存款少于100万的不给结婚生小孩，过几十年不就没什么人了嘛，人少一切问题都解决了[doge],2024-10-15 14:13:24,78,否,,2026-01-21 12:40:15,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据,2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,1324,130674000000.0,月色kksk,350796567.0,你去蹬蹬那个脚蹬子，还不如推着走省力，根本蹬不动,2022-09-19 20:53:04,0,是,130097000000.0,2026-01-21 12:11:14,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,650,275312000000.0,柒月の一天,411616648.0,回复 @螺孜LZ :[笑哭],2025-09-07 05:57:37,0,是,275207000000.0,2026-01-21 12:54:55,B站评论_BV1M7h9z8EtH_20260121_130616.xlsx,评论数据,2026-01-21 14:24:39,0.0,蔡欣颖
蔡欣颖,728,246349000000.0,炒菜不放严先生,397853351.0,你能保证哪都有非机车道嘛？你能把非机车道的违停都处理了吗？,2024-11-09 09:44:46,1,是,246611000000.0,2026-01-21 12:35:14,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (9),2026-01-21 14:24:38,3.0,蔡欣颖
蔡欣颖,2883,262859000000.0,安徽大哥,293330266.0,看看他那日本人的嘴脸,2025-05-26 23:28:23,0,否,,2026-01-21 12:25:19,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,0.0,蔡欣颖
蔡欣颖,103,262689000000.0,蓝风的云,550657567.0,48v大功率呗，app一键恢复25,2025-05-25 00:53:03,24,是,263688000000.0,2026-01-21 12:17:01,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (8),2026-01-21 14:24:36,2.0,蔡欣颖
蔡欣颖,33,285016000000.0,灰白的黎明永不落幕,515561546.0,1,2025-12-11 12:59:20,0,是,285016000000.0,2026-01-21 13:06:22,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (7),2026-01-21 14:24:35,0.0,蔡欣颖
蔡欣颖,4053,263698000000.0,I28mm烧火棍,2701225.0,按摩托车闯禁行罚[doge],2025-05-25 06:42:50,0,是,262681000000.0,2026-01-21 12:29:36,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (8),2026-01-21 14:24:38,2.0,蔡欣颖
蔡欣颖,466,246429000000.0,牢达会肘击,1753580424.0,最高不到25公里每小时，那我开25.1也不行呗[笑哭],2024-11-06 15:52:01,1,否,,2026-01-21 12:34:23,B站评论_BV1uNDhYBERK_20260121_123942.xlsx,评论数据,2026-01-21 14:24:40,2.0,蔡欣颖
蔡欣颖,2084,116663000000.0,goegg,55408511.0,难倒不能骑机动车吗，为什么不去考驾照,2022-06-13 12:40:57,1,否,,2026-01-21 12:12:52,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,3.0,蔡欣颖
蔡欣颖,2640,273914000000.0,梦境问心_小号,2075651380.0,"这有啥啊！！
要么都改行不送外卖了，要么平台调整外卖算法",2025-09-06 21:14:39,0,否,,2026-01-21 13:01:53,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,342,118687000000.0,Csj拾玖,7556207.0,整治电动车不就是因为电动车不按道行驶然后太快，出事故。与其不规模换标准浪费，去整治一直路边乱停的啊，看看有多少非机动车道能正常走通的。除了城市主干道外，其他道路两侧停车不够还把车要开上台阶上的非机动车、人行道停放。旁边不是没有划线停车位，就一步不愿意走要停店对面。然后电动车自行车只能上机动车道了啊，那交通事故就来了呗,2022-06-29 13:00:41,8,否,,2026-01-21 12:08:29,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,3051,172457000000.0,只道键来掌乾坤,303275496.0,有什么用[阴险]一意孤行！之前对着鼻子骂川大，它改了吗？,2023-06-30 12:48:33,0,否,,2026-01-21 12:15:41,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (3),2026-01-21 14:24:35,2.0,蔡欣颖
蔡欣颖,505,246409000000.0,BerserkerSystem,890703.0,所以说路上跑的那些电动车骑手其实是不用学交规的吗？[辣眼睛],2024-11-06 10:58:56,1,否,,2026-01-21 12:34:28,B站评论_BV1uNDhYBERK_20260121_123942.xlsx,评论数据,2026-01-21 14:24:40,3.0,蔡欣颖
蔡欣颖,201,284532000000.0,FeelsGoooooooood,8201928.0,回复 @为了艺术为了爱情 :不需要,2025-12-06 15:10:17,1,是,284456000000.0,2026-01-21 12:46:42,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (6),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,173,282353000000.0,萤门---,456444174.0,大家骂新国标电驴是因为很多地区禁摩，要不是禁摩谁理这玩意咋改动,2025-12-03 22:34:53,56,是,282346000000.0,2026-01-21 13:06:41,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (5),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,3837,262712000000.0,账号已注销,3546800000000000.0,生产的呢,2025-05-25 11:06:09,0,否,,2026-01-21 12:28:50,B站评论_BV1rTjtzgEHM_20260121_122941.xlsx,评论数据,2026-01-21 14:24:40,0.0,蔡欣颖
蔡欣颖,2985,172761000000.0,真龙剑皇卓辉星,395467447.0,咱们东林党是不懈余力为国奉献的忠诚之士啊,2023-07-02 08:36:32,0,否,,2026-01-21 12:15:26,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (3),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,3659,273253000000.0,噩魔代颜,184216283.0,[滑稽] 二手保值,2025-08-30 17:50:06,0,否,,2026-01-21 13:05:55,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (4),2026-01-21 14:24:37,0.0,蔡欣颖
蔡欣颖,856,282307000000.0,葵华籽,9315378.0,巧妙的降低了生产成本，价格甚至更高？！？赚麻了！！！还可以偷税漏税,2025-12-03 13:28:43,0,否,,2026-01-21 13:08:59,B站评论_BV1bc2oYaEhG_20260121_124325(2).xlsx,评论数据 (5),2026-01-21 14:24:37,2.0,蔡欣颖
蔡欣颖,1518,125300000000.0,尤同学很专注,1489304330.0,太好了😁,2022-08-12 15:29:10,0,是,125286000000.0,2026-01-21 12:11:44,B站评论_BV1DU4y1y74F_20260121_121653.xlsx,评论数据,2026-01-21 14:24:39,1.0,蔡欣颖
蔡欣颖,3427,273364000000.0,小新丢了小白,21552089.0,太好了[藏狐]逆天,2025-08-31 18:15:33,0,否,,2026-01-21 13:04:59,B站评论_BV1bc2oYaEhG_20260121_124325(1).xlsx,评论数据 (4),2026-01-21 14:24:35,0.0,蔡欣颖
